modality,engine,size,build_s,avg_query_ms,disk_reads,disk_writes,throughput_qps,recall_at_k,overlap_at_k,rss_mb,pg_index_mb
text,own-inverted,1000,2.845,0.287,2405,1539,3443.25,,0.194,789.9,
vector,own-knn,1000,0.279,0.163,981,981,6070.19,0.965,,789.9,
text,pg-gin,1000,0.716,0.929,0,0,1061.46,,,,1.33
vector,pg-ivfflat,1000,0.18,0.843,0,0,1086.1,0.42,,,1.57
vector,pg-hnsw,1000,0.507,0.9,0,0,972.64,0.985,,,1.28
text,own-inverted,10000,27.605,5.868,25131,15557,170.28,,0.096,2409.9,
vector,own-knn,10000,2.482,0.564,9808,9808,1768.72,0.995,,2409.9,
text,pg-gin,10000,7.27,2.562,0,0,388.58,,,,7.43
vector,pg-ivfflat,10000,2.296,0.971,0,0,860.84,0.585,,,11.61
vector,pg-hnsw,10000,2.894,1.175,0,0,697.67,0.98,,,10.91
text,own-inverted,100000,313.122,67.968,259656,158682,14.71,,0.058,3441.4,
vector,own-knn,100000,23.99,8.279,98185,98185,120.75,0.84,,3441.4,
text,pg-gin,100000,75.888,33.184,0,0,30.1,,,,37.46
vector,pg-ivfflat,100000,15.641,1.534,0,0,577.17,0.735,,,112.06
vector,pg-hnsw,100000,34.826,1.284,0,0,710.21,0.85,,,21.16
